encoder:,TransformerCausal,taskModel:,taskC
student,step,attempt_file,next_file,actual_next,pred_prob,pred_label,ability_ST,ability_VA,ability_OP,ability_EX,ability_IO,ability_LI,ability_CO,ability_TU,ability_DI,ability_CD
46724,24,b_449_46724_5.py,b_449_46724_6.py,0,0.000391,0,0.858734,0.926770,0.869006,0.646942,0.699243,0.156848,0.931609,0.147539,0.632740,0.018269
46724,25,b_449_46724_6.py,b_449_46724_7.py,0,0.000579,0,0.810365,0.967136,0.964287,0.943287,0.945967,0.851542,0.967250,0.068756,0.177470,0.014943
46724,26,b_449_46724_7.py,b_449_46724_8.py,0,0.001322,0,0.931773,0.970352,0.958409,0.929056,0.885199,0.287733,0.978769,0.020432,0.671922,0.076896
46724,27,b_449_46724_8.py,b_449_46724_9.py,0,0.001778,0,0.944633,0.972727,0.921273,0.811692,0.924183,0.440929,0.966633,0.397296,0.968076,0.105300
46724,28,b_449_46724_9.py,b_449_46724_10.py,0,0.000627,0,0.822307,0.956022,0.921334,0.867970,0.924900,0.933831,0.949884,0.536505,0.510187,0.023147
46724,29,b_449_46724_10.py,b_449_46724_11.py,0,0.000554,0,0.813721,0.959035,0.950298,0.872665,0.915107,0.341517,0.969418,0.093850,0.248279,0.012961
46724,30,b_449_46724_11.py,b_449_46724_12.py,0,0.003610,0,0.948901,0.983905,0.968688,0.961237,0.951775,0.351288,0.984691,0.024561,0.588533,0.156530
46724,31,b_449_46724_12.py,b_449_46724_13.py,0,0.000828,0,0.846279,0.959205,0.925119,0.903583,0.942723,0.963658,0.952842,0.651348,0.525267,0.043108
46724,32,b_449_46724_13.py,b_449_46724_14.py,0,0.001667,0,0.922612,0.970523,0.968059,0.948015,0.919044,0.340267,0.980585,0.010856,0.640717,0.095229
46724,33,b_449_46724_14.py,b_449_46724_15.py,0,0.001320,0,0.913127,0.980951,0.969691,0.969088,0.967440,0.914343,0.977592,0.498844,0.282274,0.076426
46724,34,b_449_46724_15.py,b_449_46724_16.py,0,0.000405,0,0.661325,0.946466,0.930005,0.858692,0.919653,0.780719,0.943496,0.258424,0.080605,0.014326
46724,35,b_449_46724_16.py,b_449_46724_17.py,0,0.002721,0,0.945369,0.973818,0.976588,0.958813,0.928104,0.330969,0.983746,0.013659,0.501684,0.133918
46724,36,b_449_46724_17.py,b_449_46724_18.py,0,0.000830,0,0.786880,0.956316,0.949616,0.911733,0.922866,0.957498,0.962775,0.361430,0.074533,0.046505
46724,37,b_449_46724_18.py,b_449_46724_19.py,0,0.000624,0,0.869537,0.942450,0.946335,0.838071,0.752753,0.442345,0.963479,0.045532,0.238877,0.021565
46724,38,b_449_46724_19.py,b_449_46724_20.py,0,0.009725,0,0.949875,0.980892,0.967243,0.961433,0.937784,0.344377,0.983689,0.014746,0.633011,0.236364
46724,39,b_449_46724_20.py,b_449_46724_21.py,0,0.001674,0,0.923150,0.970623,0.960108,0.921147,0.923812,0.322250,0.976272,0.066226,0.729784,0.096083
46724,40,b_449_46724_21.py,b_449_46724_22.py,0,0.000584,0,0.794349,0.949356,0.948626,0.919841,0.944302,0.909416,0.947039,0.355505,0.210598,0.017871
46724,41,b_449_46724_22.py,c_449_46724_23.py,1,0.923329,1,0.976077,0.981904,0.974707,0.975312,0.886227,0.525640,0.983159,0.271128,0.471883,0.977969
46724,42,c_449_46724_23.py,b_472_46724_1.py,0,0.000022,0,0.727069,0.755117,0.739016,0.226478,0.185396,0.667980,0.833021,0.049253,0.286146,0.161176
46724,43,b_472_46724_1.py,b_472_46724_2.py,0,0.005235,0,0.885309,0.968232,0.916648,0.856605,0.782149,0.675573,0.967568,0.542535,0.197295,0.104636
46724,44,b_472_46724_2.py,b_472_46724_3.py,0,0.001446,0,0.967633,0.986252,0.976126,0.981532,0.944297,0.462851,0.972047,0.319151,0.083122,0.883524
46724,45,b_472_46724_3.py,b_472_46724_4.py,0,0.019330,0,0.906758,0.975283,0.964778,0.967062,0.960053,0.980663,0.980275,0.429419,0.292986,0.297944
46724,46,b_472_46724_4.py,b_472_46724_5.py,0,0.000622,0,0.884094,0.960549,0.934593,0.928394,0.790687,0.366422,0.943313,0.253648,0.024258,0.351389
46724,47,b_472_46724_5.py,b_472_46724_6.py,0,0.001627,0,0.956090,0.972298,0.972576,0.972405,0.817957,0.675878,0.984166,0.071750,0.096797,0.454952
46724,48,b_472_46724_6.py,b_472_46724_7.py,0,0.000544,0,0.863754,0.950494,0.949547,0.927868,0.785019,0.841263,0.955190,0.080149,0.014513,0.414815
46724,49,b_472_46724_7.py,b_472_46724_8.py,0,0.007852,0,0.980961,0.986696,0.976757,0.980957,0.928088,0.536450,0.987116,0.162912,0.219011,0.744656
46724,50,b_472_46724_8.py,b_472_46724_9.py,0,0.008311,0,0.966551,0.979813,0.982434,0.977656,0.926727,0.405232,0.990216,0.015853,0.223818,0.659517
46724,51,b_472_46724_9.py,b_472_46724_10.py,0,0.002785,0,0.855976,0.944803,0.939872,0.843687,0.753840,0.378286,0.959331,0.088165,0.151549,0.028657
46724,52,b_472_46724_10.py,b_472_46724_11.py,0,0.000514,0,0.805677,0.930757,0.926091,0.871211,0.699357,0.626880,0.951929,0.124514,0.027429,0.046566
46724,53,b_472_46724_11.py,b_472_46724_12.py,0,0.000562,0,0.885976,0.971162,0.959755,0.945007,0.823012,0.786000,0.970662,0.242704,0.013136,0.254539
46724,54,b_472_46724_12.py,b_472_46724_13.py,0,0.000583,0,0.864624,0.956933,0.929523,0.923499,0.785817,0.366973,0.939681,0.225796,0.020226,0.277138
46724,55,b_472_46724_13.py,c_472_46724_14.py,1,0.911942,1,0.972783,0.980305,0.935697,0.938254,0.940690,0.448418,0.978942,0.248560,0.967481,0.793678
